Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Almond Fan",almond_fan,"ID 768203592578637824",," professional","Tue Aug 23 21:49:43 +0000 2016",26,263,1393,36006,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1525067684127207425/ckcZlhym_normal.jpg
Scott,JSJ9011,"ID 1567708094402101249",," ","Thu Sep 08 02:55:38 +0000 2022",1,7,0,0,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1595136331012874241/cnhPNar0_normal.jpg
Montagne,lloris_karius,"ID 1619734367709925378",," Not affiliated with the goalkeepers.","Sun Jan 29 16:29:16 +0000 2023",77,233,180,1231,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621474851205660672/i49j0F1t_normal.jpg
yokai,yokaisuru,"ID 1591589932031787010",Subterranean," ","Sun Nov 13 00:33:12 +0000 2022",35,299,9,142,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595627607327916033/vKSJ_5bb_normal.jpg
Gaston,HeilPepe2599,"ID 1613255530536902664",," Revelation 2:9","Wed Jan 11 19:24:34 +0000 2023",2,93,156,3425,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613256030414114817/5UdGobxn_normal.jpg
cascadia,hentairetard,"ID 783491872631042048",r/yaoi," ","Wed Oct 05 02:19:53 +0000 2016",17,378,949,6150,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1569190676138426368/omeeAJKt_normal.jpg
Afterlife,Afterlife__4,"ID 1394697500842500103",," Hell Awaits","Tue May 18 16:52:56 +0000 2021",17,152,106,289,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1489610657083412481/KNyPKCn9_normal.jpg
jogu,Cameloparadlis,"ID 939142531",Sweden," Then he turned back to the savanna. He was bipedal, tool wielding, meat eating, xenophobic, hierarchical, combative, competitive...","Sat Nov 10 14:08:39 +0000 2012",461,2701,55984,16108,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1186338508396466176/Mr2Dxi-q_normal.jpg
Didymus,geospagetti,"ID 992165319681572865","Inna Woods"," grill respecter","Thu May 03 22:13:40 +0000 2018",107,742,7146,11989,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1057787580736040960/n-RP_Z0f_normal.jpg
Dysprosium,Dysprosium____,"ID 1586586399930826752",," ","Sun Oct 30 05:10:58 +0000 2022",2,90,0,1,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586586615270490112/LVC3N8TG_normal.jpg
Liam,BobbaBola,"ID 4874144057","United Kingdom"," 23. Highly esoteric","Wed Feb 03 15:17:44 +0000 2016",62,161,1412,15897,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1554725162918023168/HlNxi_vG_normal.jpg
Unknown,Unknown62435971,"ID 1621179780681842688",," ","Thu Feb 02 16:12:43 +0000 2023",0,12,0,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621179937989197824/aOKt6qLZ_normal.jpg
MossMajik,MossMajik,"ID 1612429078803382276",MossWyrd," The Moss is MajiK! England, North, Poetry, Writing. Spend most my time being consumed by moss.","Mon Jan 09 12:40:31 +0000 2023",1,42,6,73,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612433371631702016/j4GujKUa_normal.jpg
NatchGa,Natch_Ga,"ID 1552123494397366272",," gay and cringe","Wed Jul 27 02:47:47 +0000 2022",5,34,7,18,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579308254252908544/Rc_vOEmf_normal.jpg
Rose,powergate7777,"ID 3036812414","Phoenix, AZ"," just call me Rose 👰🏻‍♂️💀🔞","Sun Feb 22 18:06:04 +0000 2015",124,221,3766,9340,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607413676361023489/7HEVkOhJ_normal.jpg
"Surprised Gane (Honest Islam Arc) 🇮🇳🤝🇵🇰",RajKapoor917,"ID 1517955831559454720",," Best takes on #mmatwitter, never been ratioed, only speak facts","Sat Apr 23 19:57:45 +0000 2022",144,419,1638,3515,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606682093408641024/fhoeJ0-6_normal.jpg
